iter	Passed	Remaining
224	6531	22497
225	6558	22460
226	6585	22424
227	6611	22384
228	6636	22344
229	6663	22307
230	6690	22271
231	6714	22226
232	6741	22191
233	6766	22149
234	6793	22116
235	6821	22081
236	6847	22044
237	6873	22006
238	6897	21963
239	6925	21929
240	6951	21891
241	6976	21852
242	7002	21814
243	7029	21781
244	7058	21752
245	7086	21719
246	7111	21680
247	7137	21643
248	7164	21609
249	7192	21576
250	7218	21541
251	7244	21502
252	7269	21463
253	7298	21436
254	7324	21400
255	7350	21362
256	7378	21330
257	7404	21296
258	7430	21258
259	7456	21221
260	7482	21186
261	7507	21148
262	7533	21109
263	7561	21079
264	7587	21043
265	7615	21014
266	7642	20979
267	7667	20942
268	7694	20910
269	7722	20879
270	7751	20851
271	7780	20823
272	7810	20799
273	7837	20767
274	7864	20733
275	7893	20704
276	7921	20675
277	7951	20651
278	7980	20623
279	8008	20594
280	8037	20564
281	8061	20526
282	8087	20490
283	8112	20453
284	8138	20416
285	8164	20382
286	8192	20351
287	8224	20333
288	8255	20310
289	8286	20286
290	8312	20252
291	8341	20226
292	8370	20197
293	8397	20165
294	8425	20135
295	8452	20102
296	8478	20068
297	8505	20035
298	8532	20005
299	8558	19970
300	8587	19943
301	8614	19909
302	8641	19877
303	8668	19847
304	8695	19814
305	8722	19782
306	8750	19751
307	8778	19724
308	8806	19694
309	8834	19663
310	8863	19637
311	8890	19605
312	8921	19581
313	8950	19555
314	8979	19525
315	9006	19495
316	9041	19479
317	9069	19451
318	9100	19427
319	9131	19404
320	9166	19388
321	9196	19364
322	9232	19352
323	9261	19323
324	9288	19291
325	9314	19257
326	9342	19228
327	9367	19192
328	9393	19157
329	9420	19127
330	9447	19094
331	9476	19066
332	9503	19035
333	9530	19003
334	9559	18976
335	9587	18947
336	9615	18917
337	9641	18882
338	9666	18848
339	9692	18814
340	9718	18781
341	9745	18749
342	9773	18720
343	9802	18692
344	9826	18656
345	9851	18621
346	9877	18588
347	9901	18550
348	9926	18515
349	9953	18484
350	9979	18451
351	10007	18422
352	10036	18395
353	10067	18371
354	10096	18344
355	10125	18316
356	10157	18294
357	10187	18269
358	10217	18243
359	10247	18217
360	10279	18196
361	10313	18177
362	10348	18159
363	10385	18145
364	10420	18129
365	10455	18110
366	10496	18104
367	10533	18090
368	10569	18074
369	10604	18056
370	10640	18040
371	10676	18023
372	10717	18016
373	10761	18013
374	10802	18004
375	10859	18021
376	10899	18011
377	10936	17995
378	10971	17977
379	11010	17963
380	11047	17948
381	11083	17931
382	11122	17918
383	11161	17905
384	11200	17891
385	11232	17867
386	11267	17847
387	11303	17828
388	11338	17809
389	11370	17784
390	11399	17755
391	11427	17724
392	11456	17695
393	11483	17662
394	11509	17628
395	11536	17596
396	11563	17564
397	11591	17532
398	11616	17497
399	11644	17466
400	11671	17434
401	11700	17404
402	11727	17373
403	11753	17339
404	11781	17308
405	11806	17273
406	11832	17239
407	11858	17206
408	11883	17171
409	11908	17137
410	11935	17104
411	11961	17071
412	11987	17037
413	12013	17004
414	12040	16973
415	12065	16938
416	12092	16905
417	12119	16874
418	12144	16840
419	12170	16806
420	12196	16773
421	12223	16742
422	12251	16712
423	12276	16678
424	12302	16644
425	12331	16615
426	12359	16585
427	12386	16553
428	12411	16520
429	12437	16486
430	12463	16453
431	12489	16421
432	12516	16389
433	12542	16357
434	12569	16326
435	12595	16293
436	12621	16261
437	12647	16228
438	12673	16195
439	12699	16163
440	12726	16131
441	12753	16101
442	12783	16073
443	12809	16041
444	12835	16008
445	12860	15975
446	12888	15945
447	12916	15914
448	12942	15882
449	12967	15849
450	12995	15819
451	13022	15788
452	13050	15758
453	13076	15726
454	13101	15693
455	13127	15660
456	13154	15630
457	13181	15598
458	13207	15566
459	13233	15535
460	13261	15505
461	13287	15472
462	13314	15442
463	13340	15410
464	13366	15378
465	13392	15347
466	13418	15314
467	13444	15283
468	13469	15250
469	13497	15220
470	13525	15190
471	13551	15159
472	13579	15130
473	13606	15099
474	13632	15067
475	13657	15034
476	13685	15005
477	13712	14975
478	13738	14943
479	13765	14912
480	13791	14880
481	13816	14848
482	13842	14816
483	13867	14784
484	13894	14753
485	13922	14724
486	13949	14694
487	13977	14664
488	14002	14632
489	14028	14600
490	14054	14570
491	14080	14538
492	14105	14506
493	14131	14474
494	14156	14442
495	14184	14413
496	14211	14383
497	14237	14351
498	14264	14321
499	14291	14291
500	14318	14261
501	14345	14231
502	14371	14200
503	14397	14168
504	14421	14135
505	14449	14106
506	14475	14076
507	14502	14046
508	14528	14014
509	14556	13985
510	14583	13955
511	14610	13925
512	14636	13895
513	14662	13863
514	14690	13834
515	14718	13805
516	14744	13774
517	14770	13743
518	14796	13713
519	14822	13682
520	14849	13652
521	14877	13623
522	14903	13593
523	14931	13563
524	14957	13533
525	14983	13502
526	15013	13475
527	15040	13445
528	15066	13414
529	15094	13385
530	15119	13354
531	15146	13324
532	15172	13293
533	15198	13263
534	15225	13233
535	15253	13204
536	15280	13175
537	15307	13145
538	15334	13115
539	15362	13086
540	15390	13057
541	15417	13027
542	15444	12998
543	15469	12967
544	15495	12936
545	15521	12906
546	15548	12876
547	15575	12847
548	15603	12818
549	15629	12787
550	15655	12757
551	15682	12728
552	15710	12699
553	15740	12671
554	15767	12642
555	15794	12612
556	15820	12582
557	15846	12552
558	15874	12523
559	15901	12493
560	15929	12465
561	15956	12435
562	15983	12406
563	16010	12376
564	16037	12347
565	16065	12318
566	16091	12288
567	16117	12258
568	16145	12230
569	16173	12200
570	16198	12170
571	16224	12140
572	16252	12111
573	16280	12082
574	16310	12055
575	16338	12027
576	16367	11999
577	16394	11969
578	16420	11939
579	16449	11911
580	16475	11881
581	16503	11852
582	16529	11822
583	16556	11793
584	16581	11762
585	16608	11733
586	16635	11704
587	16662	11675
588	16691	11647
589	16719	11618
590	16747	11589
591	16777	11562
592	16807	11535
593	16838	11509
594	16871	11483
595	16904	11458
596	16937	11433
597	16969	11407
598	17006	11385
599	17042	11361
600	17083	11341
601	17121	11319
602	17156	11295
603	17194	11272
604	17230	11249
605	17307	11252
606	17346	11231
607	17402	11219
608	17438	11195
609	17467	11167
610	17495	11138
611	17526	11111
612	17554	11082
613	17581	11052
614	17610	11024
615	17638	10995
616	17665	10965
617	17697	10938
618	17729	10912
619	17764	10887
620	17798	10862
621	17833	10837
622	17866	10811
623	17901	10786
624	17935	10761
625	17966	10734
626	18001	10709
627	18033	10682
628	18063	10654
629	18094	10626
630	18119	10596
631	18146	10566
632	18170	10534
633	18201	10507
634	18230	10479
635	18259	10450
636	18285	10420
637	18311	10390
638	18336	10359
639	18363	10329
640	18389	10299
641	18416	10269
642	18442	10239
643	18468	10209
644	18494	10179
645	18522	10150
646	18551	10121
647	18577	10091
648	18602	10061
649	18631	10032
650	18657	10002
651	18686	9973
652	18719	9947
653	18749	9919
654	18781	9892
655	18810	9864
656	18841	9836
657	18872	9809
658	18903	9781
659	18935	9754
660	18966	9727
661	19001	9701
662	19032	9674
663	19064	9646
664	19097	9620
665	19128	9592
666	19159	9565
667	19213	9549
668	19250	9524
669	19278	9495
670	19308	9467
671	19335	9437
672	19362	9407
673	19388	9377
674	19415	9348
675	19441	9318
676	19467	9288
677	19493	9257
678	19521	9229
679	19548	9199
680	19574	9169
681	19600	9139
682	19626	9109
683	19651	9078
684	19678	9049
685	19703	9019
686	19728	8988
687	19755	8958
688	19781	8929
689	19808	8899
690	19831	8868
691	19858	8838
692	19888	8810
693	19915	8781
694	19941	8751
695	19967	8721
696	19993	8691
697	20017	8660
698	20042	8630
699	20068	8600
700	20096	8571
701	20123	8542
702	20150	8512
703	20177	8483
704	20202	8453
705	20228	8423
706	20255	8394
707	20282	8365
708	20308	8335
709	20333	8305
710	20359	8275
711	20384	8245
712	20409	8215
713	20436	8186
714	20463	8156
715	20492	8128
716	20519	8099
717	20547	8070
718	20577	8041
719	20603	8012
720	20632	7984
721	20659	7954
722	20689	7926
723	20719	7898
724	20746	7869
725	20772	7839
726	20800	7810
727	20826	7781
728	20852	7751
729	20877	7721
730	20905	7692
731	20931	7663
732	20956	7633
733	20984	7604
734	21013	7576
735	21039	7546
736	21069	7518
737	21095	7489
738	21120	7459
739	21148	7430
740	21173	7400
741	21201	7371
742	21229	7343
743	21254	7313
744	21282	7284
745	21308	7255
746	21335	7226
747	21363	7197
748	21392	7168
749	21416	7138
750	21442	7109
751	21471	7081
752	21496	7051
753	21523	7022
754	21549	6992
755	21574	6963
756	21599	6933
757	21627	6904
758	21653	6875
759	21679	6846
760	21709	6818
761	21742	6790
762	21774	6763
763	21804	6735
764	21836	6708
765	21868	6680
766	21898	6652
767	21925	6623
768	21951	6593
769	21977	6564
770	22004	6535
771	22032	6506
772	22059	6478
773	22088	6449
774	22114	6420
775	22141	6391
776	22169	6362
777	22195	6333
778	22223	6304
779	22250	6275
780	22277	6246
781	22303	6217
782	22328	6188
783	22353	6158
784	22379	6129
785	22406	6100
786	22434	6071
787	22460	6042
788	22487	6013
789	22512	5984
790	22539	5955
791	22563	5925
792	22589	5896
793	22615	5867
794	22641	5838
795	22669	5809
796	22695	5780
797	22721	5751
798	22747	5722
799	22772	5693
800	22798	5663
801	22825	5635
802	22849	5605
803	22879	5577
804	22905	5548
805	22932	5519
806	22959	5490
807	22987	5462
808	23015	5433
809	23043	5405
810	23069	5376
811	23100	5348
812	23129	5320
813	23158	5291
814	23186	5263
815	23218	5235
816	23246	5206
817	23275	5178
818	23304	5150
819	23333	5122
820	23362	5093
821	23391	5065
822	23418	5036
823	23449	5008
824	23477	4980
825	23507	4951
826	23538	4923
827	23566	4895
828	23594	4866
829	23622	4838
830	23652	4810
831	23681	4781
832	23709	4753
833	23739	4725
834	23765	4696
835	23796	4668
836	23824	4639
837	23851	4610
838	23881	4582
839	23911	4554
840	23939	4526
841	23966	4497
842	23992	4468
843	24020	4439
844	24048	4411
845	24077	4382
846	24107	4354
847	24136	4326
848	24166	4298
849	24200	4270
850	24235	4243
851	24266	4215
852	24297	4187
853	24331	4159
854	24359	4131
855	24388	4102
856	24412	4073
857	24442	4045
858	24471	4016
859	24497	3987
860	24526	3959
861	24553	3930
862	24581	3902
863	24609	3873
864	24635	3844
865	24661	3816
866	24691	3787
867	24718	3758
868	24746	3730
869	24773	3701
870	24799	3672
871	24828	3644
872	24857	3616
873	24884	3587
874	24914	3559
875	24942	3530
876	24973	3502
877	25004	3474
878	25033	3445
879	25061	3417
880	25090	3389
881	25117	3360
882	25145	3331
883	25173	3303
884	25204	3275
885	25231	3246
886	25260	3218
887	25287	3189
888	25314	3160
889	25345	3132
890	25373	3104
891	25401	3075
892	25429	3046
893	25457	3018
894	25485	2989
895	25515	2961
896	25543	2933
897	25570	2904
898	25598	2875
899	25630	2847
900	25657	2819
901	25685	2790
902	25713	2762
903	25741	2733
904	25771	2705
905	25799	2676
906	25830	2648
907	25860	2620
908	25890	2591
909	25920	2563
910	25947	2534
911	25974	2506
912	26001	2477
913	26030	2449
914	26059	2420
915	26088	2392
916	26118	2364
917	26148	2335
918	26174	2307
919	26204	2278
920	26231	2250
921	26259	2221
922	26289	2193
923	26317	2164
924	26344	2136
925	26370	2107
926	26398	2078
927	26425	2050
928	26451	2021
929	26479	1993
930	26508	1964
931	26535	1936
932	26561	1907
933	26589	1878
934	26620	1850
935	26647	1822
936	26676	1793
937	26704	1765
938	26733	1736
939	26761	1708
940	26789	1679
941	26818	1651
942	26847	1622
943	26875	1594
944	26903	1565
945	26932	1537
946	26964	1509
947	26991	1480
948	27017	1451
949	27044	1423
950	27071	1394
951	27098	1366
952	27126	1337
953	27155	1309
954	27183	1280
955	27211	1252
956	27237	1223
957	27264	1195
958	27313	1167
959	27351	1139
960	27382	1111
961	27410	1082
962	27440	1054
963	27469	1025
964	27498	997
965	27526	968
966	27554	940
967	27581	911
968	27608	883
969	27636	854
970	27667	826
971	27695	797
972	27722	769
973	27751	740
974	27780	712
975	27809	683
976	27837	655
977	27865	626
978	27894	598
979	27923	569
980	27950	541
981	28001	513
982	28036	484
983	28065	456
984	28093	427
985	28119	399
986	28148	370
987	28177	342
988	28205	313
989	28233	285
990	28260	256
991	28289	228
992	28317	199
993	28344	171
994	28372	142
995	28400	114
996	28430	85
997	28457	57
998	28485	28
999	28513	0
